_id,INTERSECTION_ID,LINEAR_NAME_FULL_1,LINEAR_NAME_FULL_2,MI_PRINX,OBJECTID,ID,CLIENT_STREET_1,CLIENT_STREET_2,RLC,TCS,NAME,ADDITIONAL_INFO,MAIN,SIDE1,SIDE2,MID_BLOCK,PRIVATE_ACCESS,DISTRICT,WARD_1,WARD_2,WARD_3,WARD_4,POLICE_DIVISION_1,POLICE_DIVISION_2,POLICE_DIVISION_3,ACTIVATION_DATE,geometry,geo_coordinates
1,13465959.0,Richmond St E,Parliament St,1,1,1,RICHMOND ST E,PARLIAMENT ST,6001,223,Richmond St E And Parliament St,,RICHMOND ST E,PARLIAMENT ST,,,,Toronto and East York,Toronto Centre(13),,,,51,,,2007-11-09T05:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.3640229981536, 43.6545590110734]]}","(-79.3640229981536, 43.6545590110734)"
2,13467993.0,Lake Shore Blvd W,York St,2,2,2,LAKE SHORE BLVD W,YORK ST,6002,205,Lake Shore Blvd W And York St,WB LAKE SHORE BLVD,LAKE SHORE BLVD W,YORK ST,,,,Toronto and East York,Spadina-Fort York(10),,,,52,,,2007-11-09T05:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.3808680070637, 43.6414600021636]]}","(-79.3808680070637, 43.6414600021636)"
3,13444656.0,Steeles Ave W,Carpenter Rd,3,3,3,STEELES AVE W,CARPENTER RD,6003,1564,Steeles Ave W And Carpenter Rd / Private Access @ Shopping Centre,,STEELES AVE W,CARPENTER RD,PRIVATE ACCESS,,SHOPPING CENTRE,North York,York Centre(6),,,,32,,,2007-11-09T05:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.447588998966, 43.7920130014137]]}","(-79.447588998966, 43.7920130014137)"
4,13444138.0,Steeles Ave W,Hilda Ave,4,4,4,STEELES AVE W,HILDA AVE,6004,1115,Steeles Ave W And Hilda Ave,,STEELES AVE W,HILDA AVE,,,,North York,Willowdale(18),,,,32,,,2007-11-09T05:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.4292670008865, 43.7960070062936]]}","(-79.4292670008865, 43.7960070062936)"
5,13451893.0,Albion Rd,Silverstone Dr,5,5,5,ALBION RD,SILVERSTONE DR,6005,1156,Albion Rd And Silverstone Dr,,ALBION RD,SILVERSTONE DR,,,,Etobicoke York,Etobicoke North(1),,,,23,,,2007-11-09T05:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.6000939933117, 43.7429520012624]]}","(-79.6000939933117, 43.7429520012624)"
6,13459576.0,Dixon Rd,Kipling Ave,6,6,6,DIXON RD,KIPLING AVE,6007,435,Dixon Rd And Kipling Ave,,DIXON RD,KIPLING AVE,,,,Etobicoke York,Etobicoke North(1),Etobicoke Centre(2),,,23,,,2008-03-18T04:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.5586490059244, 43.6942490044885]]}","(-79.5586490059244, 43.6942490044885)"
7,13448601.0,Steeles Ave W,Islington Ave,7,7,7,STEELES AVE W,ISLINGTON AVE,6008,1208,Steeles Ave W And Islington Ave,,STEELES AVE W,ISLINGTON AVE,,,,Etobicoke York,Humber River-Black Creek(7),,,,31,,,2008-10-28T04:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.5748709931268, 43.7643430030644]]}","(-79.5748709931268, 43.7643430030644)"
8,13450231.0,Sheppard Ave W,Wilson Heights Blvd,8,8,8,SHEPPARD AVE W,WILSON HEIGHTS BLVD,6009,631,Sheppard Ave W And Wilson Heights Blvd,,SHEPPARD AVE W,WILSON HEIGHTS BLVD,,,,North York,York Centre(6),,,,32,,,2009-03-17T04:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.4567510019211, 43.7516630010107]]}","(-79.4567510019211, 43.7516630010107)"
9,13449607.0,Bathurst St,Sheppard Ave W,9,9,9,BATHURST ST,SHEPPARD AVE W,6010,672,Bathurst St And Sheppard Ave W,,BATHURST ST,SHEPPARD AVE W,,,,North York,York Centre(6),,,,32,,,2007-11-09T05:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.4384810044369, 43.7554580028968]]}","(-79.4384810044369, 43.7554580028968)"
10,13455749.0,Lawrence Ave W,Marlee Ave,10,10,10,LAWRENCE AVE W,MARLEE AVE,6011,425,Lawrence Ave W And Marlee Ave / Private Access @ Lawrence Square Access,,LAWRENCE AVE W,MARLEE AVE,PRIVATE ACCESS,,LAWRENCE SQUARE ACCESS,North York,Eglinton-Lawrence(8),,,,32,13.0,,2008-03-19T04:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.4465200053405, 43.7156150035191]]}","(-79.4465200053405, 43.7156150035191)"
11,13455135.0,Bathurst St,Lawrence Ave W,11,11,11,BATHURST ST,LAWRENCE AVE W,6012,423,Bathurst St And Lawrence Ave W,,BATHURST ST,LAWRENCE AVE W,,,,North York,Eglinton-Lawrence(8),,,,32,13.0,53.0,2008-08-11T04:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.4298159904052, 43.7192580018008]]}","(-79.4298159904052, 43.7192580018008)"
12,13444532.0,Bayview Ave,Cummer Ave,12,12,12,BAYVIEW AVE,CUMMER AVE,6013,651,Bayview Ave And Cummer Ave,,BAYVIEW AVE,CUMMER AVE,,,,North York,Willowdale(18),Don Valley North(17),,,33,32.0,,2009-03-17T04:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.3935960040456, 43.7922969999153]]}","(-79.3935960040456, 43.7922969999153)"
13,13452717.0,Leslie St,Lawrence Ave E,13,13,13,LESLIE ST,LAWRENCE AVE E,6015,400,Leslie St And Lawrence Ave E,,LESLIE ST,LAWRENCE AVE E,,,,North York,Don Valley West(15),Don Valley East(16),,,33,,,2008-05-29T04:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.3559789975746, 43.7345350020512]]}","(-79.3559789975746, 43.7345350020512)"
14,13449822.0,Leslie St,York Mills Rd,14,14,14,LESLIE ST,YORK MILLS RD,6016,755,Leslie St And York Mills Rd,,LESLIE ST,YORK MILLS RD,,,,North York,Don Valley West(15),Don Valley East(16),,,33,,,2009-08-05T04:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.3599699911438, 43.7529540024844]]}","(-79.3599699911438, 43.7529540024844)"
15,13448765.0,Bayview Ave,Truman Rd,15,15,15,BAYVIEW AVE,TRUMAN RD,6017,1083,Bayview Ave And Truman Rd / Fifeshire Rd,,BAYVIEW AVE,TRUMAN RD,FIFESHIRE RD,,,North York,Don Valley West(15),,,,33,32.0,,2008-03-31T04:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.3866350029291, 43.7605860032119]]}","(-79.3866350029291, 43.7605860032119)"
16,14038170.0,Midland Ave,McNicoll Ave,16,16,16,MIDLAND AVE,MCNICOLL AVE,6018,1540,Midland Ave And Mcnicoll Ave,,MIDLAND AVE,MCNICOLL AVE,,,,Scarborough,Scarborough-Agincourt(22),Scarborough North(23),,,42,,,2008-10-09T04:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.2922180081124, 43.8145780077135]]}","(-79.2922180081124, 43.8145780077135)"
17,13441903.0,Steeles Ave E,Birchmount Rd,17,17,17,STEELES AVE E,BIRCHMOUNT RD,6019,1363,Steeles Ave E And Birchmount Rd,,STEELES AVE E,BIRCHMOUNT RD,,,,Scarborough,Scarborough-Agincourt(22),,,,42,,,2009-03-17T04:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.3169249962472, 43.8213920039946]]}","(-79.3169249962472, 43.8213920039946)"
18,13446799.0,Warden Ave,Arkona Dr,18,18,18,WARDEN AVE,ARKONA DR,6020,927,Warden Ave And Arkona Dr / Cloverleaf Gt,,WARDEN AVE,ARKONA DR,CLOVERLEAF GT,,,Scarborough,Scarborough-Agincourt(22),,,,42,,,2008-08-11T04:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.3053560099501, 43.7730890055368]]}","(-79.3053560099501, 43.7730890055368)"
19,13441677.0,Steeles Ave E,Brimley Rd,19,19,19,STEELES AVE E,BRIMLEY RD,6021,1491,Steeles Ave E And Brimley Rd,,STEELES AVE E,BRIMLEY RD,,,,Scarborough,Scarborough North(23),,,,42,,,2008-05-29T04:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.2872019971675, 43.8282939976019]]}","(-79.2872019971675, 43.8282939976019)"
20,13465757.0,College St,Bathurst St,20,20,20,COLLEGE ST,BATHURST ST,6022,300,College St And Bathurst St,,COLLEGE ST,BATHURST ST,,,,Toronto and East York,University-Rosedale(11),,,,14,,,2008-08-11T04:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.4077219983493, 43.656481004806]]}","(-79.4077219983493, 43.656481004806)"
21,13447211.0,Morningside Ave,Lawrence Ave E,21,21,21,MORNINGSIDE AVE,LAWRENCE AVE E,6023,499,Morningside Ave And Lawrence Ave E,,MORNINGSIDE AVE,LAWRENCE AVE E,,,,Scarborough,Scarborough-Guildwood(24),Scarborough-Rouge Park(25),,,43,,,2008-08-11T04:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.1862250063822, 43.768408003812]]}","(-79.1862250063822, 43.768408003812)"
22,13461025.0,Dixon Rd,Carlingview Dr,22,22,22,DIXON RD,CARLINGVIEW DR,6024,536,Dixon Rd And Carlingview Dr,,DIXON RD,CARLINGVIEW DR,,,,Etobicoke York,Etobicoke North(1),,,,23,,,2009-03-19T04:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.5955659976761, 43.6867570035774]]}","(-79.5955659976761, 43.6867570035774)"
23,13457150.0,Dufferin St,Glencairn Ave,23,23,23,DUFFERIN ST,GLENCAIRN AVE,6025,613,Dufferin St And Glencairn Ave,,DUFFERIN ST,GLENCAIRN AVE,,,,North York,Eglinton-Lawrence(8),,,,13,,,2009-03-19T04:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.4531800071891, 43.706982004009]]}","(-79.4531800071891, 43.706982004009)"
24,13456854.0,Overlea Blvd,Thorncliffe Park Dr,24,24,24,OVERLEA BLVD,THORNCLIFFE PARK DR,6026,679,Overlea Blvd And Thorncliffe Park Dr,EAST INTERSECTION,OVERLEA BLVD,THORNCLIFFE PARK DR,,,,North York,Don Valley West(15),,,,53,,,2008-10-29T04:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.3436250025507, 43.7074730060253]]}","(-79.3436250025507, 43.7074730060253)"
25,13447843.0,Kennedy Rd,Ellesmere Rd,25,25,25,KENNEDY RD,ELLESMERE RD,6027,696,Kennedy Rd And Ellesmere Rd,,KENNEDY RD,ELLESMERE RD,,,,Scarborough,Scarborough Centre(21),,,,41,,,2008-03-28T04:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.2810780069511, 43.7658020019069]]}","(-79.2810780069511, 43.7658020019069)"
26,13444761.0,Leslie St,Finch Ave E,26,26,26,LESLIE ST,FINCH AVE E,6028,868,Leslie St And Finch Ave E,,LESLIE ST,FINCH AVE E,,,,North York,Don Valley North(17),,,,33,,,2008-10-21T04:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.3680670004262, 43.7900119961954]]}","(-79.3680670004262, 43.7900119961954)"
27,13444601.0,Birchmount Rd,Huntingwood Dr,27,27,27,BIRCHMOUNT RD,HUNTINGWOOD DR,6029,987,Birchmount Rd And Huntingwood Dr,,BIRCHMOUNT RD,HUNTINGWOOD DR,,,,Scarborough,Scarborough-Agincourt(22),,,,42,,,2009-03-17T04:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.3022949978243, 43.7904399964523]]}","(-79.3022949978243, 43.7904399964523)"
28,13443303.0,Kingston Rd,Port Union Rd,28,28,28,KINGSTON RD,PORT UNION RD,6030,1201,Kingston Rd And Port Union Rd / Sheppard Ave E,,KINGSTON RD,PORT UNION RD,SHEPPARD AVE E,,,Scarborough,Scarborough-Rouge Park(25),,,,42,,,2008-03-18T04:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.1462229994315, 43.7989240015282]]}","(-79.1462229994315, 43.7989240015282)"
29,13468898.0,Bloor St W,The West Mall,29,29,29,BLOOR ST W,THE WEST MALL,6031,793,Bloor St W And The West Mall,,BLOOR ST W,THE WEST MALL,,,,Etobicoke York,Etobicoke Centre(2),,,,22,,,2009-03-19T04:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.5623179959463, 43.6356249939783]]}","(-79.5623179959463, 43.6356249939783)"
30,13470138.0,The Queensway,The West Mall,30,30,30,THE QUEENSWAY,THE WEST MALL,6032,912,The Queensway And The West Mall,,THE QUEENSWAY,THE WEST MALL,,,,Etobicoke York,Etobicoke-Lakeshore(3),,,,22,,,2008-11-20T05:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.5626769977969, 43.6123069968059]]}","(-79.5626769977969, 43.6123069968059)"
31,13470661.0,Lake Shore Blvd W,Thirty Seventh St,31,31,31,LAKE SHORE BLVD W,THIRTY SEVENTH ST,6033,241,Lake Shore Blvd W And Thirty Seventh St / Private Access,,LAKE SHORE BLVD W,THIRTY SEVENTH ST,PRIVATE ACCESS,,,Etobicoke York,Etobicoke-Lakeshore(3),,,,22,,,2009-03-19T04:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.5381799940711, 43.5933960003353]]}","(-79.5381799940711, 43.5933960003353)"
32,13470261.0,Kipling Ave,Horner Ave,32,32,32,KIPLING AVE,HORNER AVE,6034,764,Kipling Ave And Horner Ave,,KIPLING AVE,HORNER AVE,,,,Etobicoke York,Etobicoke-Lakeshore(3),,,,22,,,2008-03-19T04:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.5207509976317, 43.6072009967797]]}","(-79.5207509976317, 43.6072009967797)"
33,13470082.0,The Queensway,North Queen St,33,33,33,THE QUEENSWAY,NORTH QUEEN ST,6035,917,The Queensway And North Queen St / Private Access @ Sherway Gardens,,THE QUEENSWAY,NORTH QUEEN ST,PRIVATE ACCESS,,SHERWAY GARDENS,Etobicoke York,Etobicoke-Lakeshore(3),,,,22,,,2009-04-02T04:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.5561539918499, 43.6142170046664]]}","(-79.5561539918499, 43.6142170046664)"
34,13453096.0,Wilson Ave,Transit Rd,34,34,34,WILSON AVE,TRANSIT RD,6036,1237,Wilson Ave And Transit Rd / Billy Bishop Way,WILSON STN ENTRANCE,WILSON AVE,TRANSIT RD,BILLY BISHOP WAY,,,North York,York Centre(6),,,,32,,,2009-08-21T04:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.4528629934421, 43.7333830014361]]}","(-79.4528629934421, 43.7333830014361)"
35,13468837.0,Lake Shore Blvd W,Windermere Ave,35,35,35,LAKE SHORE BLVD W,WINDERMERE AVE,6037,229,Lake Shore Blvd W And Windermere Ave / Private Access,,LAKE SHORE BLVD W,WINDERMERE AVE,PRIVATE ACCESS,,,Toronto and East York,Parkdale-High Park(4),,,,11,,,2008-05-29T04:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.46814699688, 43.6351890029381]]}","(-79.46814699688, 43.6351890029381)"
36,13442867.0,Warden Ave,McNicoll Ave,36,36,36,WARDEN AVE,MCNICOLL AVE,6038,1287,Warden Ave And Mcnicoll Ave,,WARDEN AVE,MCNICOLL AVE,,,,Scarborough,Scarborough-Agincourt(22),,,,42,,,2009-03-17T04:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.3209749936509, 43.8063490021709]]}","(-79.3209749936509, 43.8063490021709)"
37,13454197.0,Keele St,Wilson Ave,37,37,37,KEELE ST,WILSON AVE,6039,597,Keele St And Wilson Ave,,KEELE ST,WILSON AVE,,,,North York,York Centre(6),,,,31,,,2008-05-29T04:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.4820690045095, 43.7266419991172]]}","(-79.4820690045095, 43.7266419991172)"
38,13464191.0,Lansdowne Ave,Dupont St,38,38,38,LANSDOWNE AVE,DUPONT ST,6040,844,Lansdowne Ave And Dupont St,,LANSDOWNE AVE,DUPONT ST,,,,Toronto and East York,Davenport(9),,,,11,,,2008-03-26T04:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.4464609943321, 43.6667250002628]]}","(-79.4464609943321, 43.6667250002628)"
39,13468197.0,Queen St W,Lansdowne Ave,39,39,39,QUEEN ST W,LANSDOWNE AVE,6041,1981,Queen St W And Lansdowne Ave / Jameson Ave,,QUEEN ST W,LANSDOWNE AVE,JAMESON AVE,,,Toronto and East York,Parkdale-High Park(4),,,,11,14.0,,2009-01-21T05:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.4369899986827, 43.6405599995531]]}","(-79.4369899986827, 43.6405599995531)"
40,13467689.0,Burnhamthorpe Rd,The East Mall,40,40,40,BURNHAMTHORPE RD,THE EAST MALL,6042,948,Burnhamthorpe Rd And The East Mall,,BURNHAMTHORPE RD,THE EAST MALL,,,,Etobicoke York,Etobicoke Centre(2),,,,22,,,2008-03-26T04:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.5599919958505, 43.6463030043403]]}","(-79.5599919958505, 43.6463030043403)"
